size in Bytes
ID;Name;Size;CRC32;MD5;Serial;#Trusted;Status
"0657";"Shadowgate 64 - Trials of the Four Towers (Europe)";"16777216";"FF7D7DF0";"E8955C3B743FDDFE403E52E769E9853F";"NSGP NUS-NSGP-UKV";1;"Trusted"
"0658";"Shadowgate 64 - Trials of the Four Towers (Europe) (Es,It)";"16777216";"87F00472";"A06E757CF1930B29FA4C0B5C9F31335F";"NSGY NSGY";1;"Trusted"
"0659";"Shadowgate 64 - Trials of the Four Towers (Europe) (Fr,De,Nl)";"16777216";"EEDC0BEA";"11169A32D449EC3A8903CA8A9D69A6AA";"NSGX ";0;"Not verified"
"0660";"Shadowgate 64 - Trials of the Four Towers (Japan)";"16777216";"9F74A58C";"1960A3879FADF2C5EFF5BEB47E0E1441";"NSGJ NUS-NSGJ-JPN";1;"Trusted"
"0661";"Shadowgate 64 - Trials of the Four Towers (USA) (En,Es)";"16777216";"69983CC3";"407A1A18BD7DBE0485329296C3F84EB8";"NSGE ";0;"Not verified"
"0662";"Shin Nihon Pro Wrestling Toukon Road - Brave Spirits (Japan)";"12582912";"E892ED43";"13D9514A4D208DC6C7B0C833F68114D2";"NTOJ NUS-NTOJ-JPN";1;"Trusted"
"0663";"Shin Nihon Pro Wrestling Toukon Road 2 - The Next Generation (Japan)";"33554432";"DEAC787F";"113044B16B75F98792BF9C20C6B6282B";"NT3J NUS-NT3J-JPN";1;"Trusted"
"0664";"SimCity 2000 (Japan)";"12582912";"57767E45";"244BEA64EA209990E9C69A830B507135";"NS2J NUS-NS2J-JPN";1;"Trusted"
"0665";"Snobo Kids (Japan)";"8388608";"213BF381";"B8D4B92E66A312708626B3216DE07A3A";"NSKJ NUS-NSKJ-JPN";1;"Trusted"
"0666";"Snow Speeder (Japan)";"12582912";"30EA3FD7";"F7E66DA23C8BB8E59F641A636A9CAE82";"NSNJ NUS-NSNJ-JPN";1;"Trusted"
"0667";"Snowboard Kids (Europe)";"8388608";"5619A70D";"AB4382E583AE139EEDBAFCE5FA87E4C8";"NSKP NUS-NSKP-EUR, NUS-NSKP-AUS";2;"Verified"
"0668";"Snowboard Kids (USA)";"8388608";"020FB906";"EB31F4F9C1FE26A3A663F74E9790516E";"NSKE ";0;"Not verified"
"0669";"Snowboard Kids 2 (Australia)";"16777216";"3A0B6214";"47B5E3955D54F969941533F26691AB38";"NK2P NUS-NK2P-AUS";1;"Trusted"
"0670";"Snowboard Kids 2 (USA)";"16777216";"D0DC8A8E";"08E1152E9D9742E9BBF6C224B6958F2D";"NK2E ";0;"Not verified"
"0671";"Sonic Wings Assault (Japan)";"8388608";"FC73FB79";"7D47911B5C3D91A303EF19E764F3C02B";"NSAJ NUS-NSAJ-JPN";1;"Trusted"
"0672";"South Park (Europe) (En,Fr,Es)";"16777216";"B2C3E123";"40CC2085A5C12456BEF830B047068326";"NDTP NUS-NDTP-EUR";1;"Trusted"
"0673";"South Park (Germany)";"16777216";"5711E197";"2C94A246E701D667BA807DAB6C9771E2";"NDTD ";0;"Not verified"
"0674";"South Park (USA)";"16777216";"7D666B9E";"1730119B0455EF89C4E495DEC8E950A5";"NDTE ";0;"Not verified"
"0675";"South Park - Chef's Luv Shack (Europe)";"16777216";"AC1628EB";"F1AE48B778C8431A50C37EB1ED96B120";"NCYP NUS-NCYP-EUR";1;"Trusted"
"0676";"South Park - Chef's Luv Shack (USA)";"16777216";"6B6B1D09";"6AF573EB055648A8542AA82D9524FB2F";"NCYE ";0;"Not verified"
"0677";"South Park Rally (Europe)";"16777216";"296E3525";"C33FA02791077A71B0AFE1CFED47C180";"NPRP NUS-NPRP-UKV";1;"Trusted"
"0678";"South Park Rally (USA)";"16777216";"CCDD322A";"1C494719032FF99382B167C43FB11762";"NPRE ";0;"Not verified"
"0679";"Space Dynamites (Japan)";"8388608";"8CB4B948";"7F9CDBBB1AAAAF0983C64988EF9C58BE";"NDKJ NUS-NDKJ-JPN";1;"Trusted"
"0680";"Space Invaders (USA)";"8388608";"60F7FF8E";"C72417E0F8F043F9F11851633C4B1A57";"NIVE ";0;"Not verified"
"0681";"SpaceStation Silicon Valley (Europe) (En,Fr,De,Es,It,Nl,Pt)";"8388608";"63042E36";"FCA7AFCADCF5E5545A62919BA94DAD18";"NSVP NUS-NSVP-EUU";1;"Trusted"
"0682";"SpaceStation Silicon Valley (Japan) (Proto)";"8388608";"DCEC9F8A";"E66ED1CC4AB95D0872BB2EBC49B206C4";"NSVJ ";0;"Not verified"
"0683";"SpaceStation Silicon Valley (USA)";"8388608";"A606E8AE";"868B37D1B66D1D994E2BAD4E218BF129";"NSVE ";0;"Not verified"
"0684";"Spider-Man (USA)";"33554432";"696CC2A4";"7F1991B8861E7E532EC21ECF2AF82191";"NSLE ";0;"Not verified"
"0685";"Star Fox 64 (Japan)";"12582912";"411142A7";"446D5215C4D34EB8AB0F355F324B8D0E";"NFXJ NUS-NFXJ-JPN";1;"Trusted"
"0686";"Star Fox 64 (USA)";"12582912";"B1FCAA9C";"CAF9A78DB13EE00002FF63A3C0C5EABB";"NFXE NUS-NFXE-USA";1;"Trusted"
"0687";"Star Fox 64 (USA) (Rev 1)";"12582912";"B1B5FC46";"741A94EEE093C4C8684E66B89F8685E8";"NFXE ";2;"Verified"
"0688";"Star Soldier - Vanishing Earth (Japan)";"12582912";"7EE5F51D";"14A21928BE46C18BA04161305E89F5DE";"NS6J NUS-NS6J-JPN";1;"Trusted"
"0689";"Star Soldier - Vanishing Earth (USA)";"12582912";"EA650DEF";"EE045A2E9F924CD8FD00018B50E46650";"NS6E NUS-NS6E-USA";1;"Trusted"
"0690";"Star Twins (Japan)";"33554432";"964506CE";"CA28A3645FC7AD969EBD75C5D6506E7A";"NJFJ NUS-NJFJ-JPN";1;"Trusted"
"0691";"Star Wars - Rogue Squadron (Europe) (En,Fr,De)";"16777216";"6289645F";"7F919D2E35CBE561E139AE8FE93ACA86";"NRSP NUS-NRSP-EUR";3;"Verified"
"0692";"Star Wars - Rogue Squadron (Europe) (En,Fr,De) (Rev 1)";"16777216";"C88E5638";"A9DD498E6A28F55311CE4EF057E164B8";"NRSP ";0;"Not verified"
"0693";"Star Wars - Rogue Squadron (USA)";"16777216";"83C225CC";"47CAC4E2A6309458342F21A9018FFBF0";"NRSE ";0;"Not verified"
"0694";"Star Wars - Shadows of the Empire (Europe)";"12582912";"F0A191BF";"591CF8E672C9CC0FE9C871CC56DCC854";"NSWP NUS-NSWP-EUR, NUS-NSWP-AUS";2;"Verified"
"0695";"Star Wars - Shadows of the Empire (USA)";"12582912";"3C0837B3";"5CCE8AD5F86E8A373A7525DC4C7E6705";"NSWE NUS-NSWE-USA";1;"Trusted"
"0696";"Star Wars - Shadows of the Empire (USA) (Rev 1)";"12582912";"B0540688";"FA635E837275D28FD5A24D5675BA42C8";"NSWE ";0;"Not verified"
"0697";"Star Wars - Shadows of the Empire (USA) (Rev 2)";"12582912";"E8727549";"C7B40352AAD8D863D88D51672F9A0087";"NSWE NUS-NSWE-USA";1;"Trusted"
"0698";"Star Wars - Shutsugeki! Rogue Chuutai (Japan)";"16777216";"EE7643B6";"8603B180E70B2A72EF77D46C2BEC2234";"NRSJ NUS-NRSJ-JPN";1;"Trusted"
"0699";"Star Wars - Teikoku no Kage (Japan)";"12582912";"7CE71426";"5B6B6B0C8C9A40286DCF61706B6A05CB";"NSWJ NUS-NSWJ-JPN";1;"Trusted"
"0700";"Star Wars Episode I - Battle for Naboo (Europe)";"33554432";"029104FD";"0BD1F7BB9F4B02520E4E9285C809F099";"NNAP NUS-NNAP-EUR";1;"Trusted"
"0701";"Star Wars Episode I - Battle for Naboo (USA)";"33554432";"99DEE3C0";"3CB88B934572E7520F35E5458798775B";"NNAE ";0;"Not verified"
"0702";"Star Wars Episode I - Racer (Europe) (En,Fr,De)";"33554432";"E0F46629";"6EF9FED309F28BD59B605F128869AA00";"NEPP NUS-NEPP-EUR, NUS-NEPP-AUS";5;"Verified"
"0703";"Star Wars Episode I - Racer (Japan)";"33554432";"97C155C5";"7579AB0E79B1011479B88F2BF39D48E0";"NEPJ NUS-NEPJ-JPN";1;"Trusted"
